incident_id,latitude,longitude,hour_of_day
48802935,38.9818,-76.9455,23
48802936,38.9818,-76.9455,23
48802937,38.9818,-76.9455,23
48802938,38.9818,-76.9455,23
48802939,38.9818,-76.9455,23
214182392,38.99025966,-76.94549454,0
229945636,38.99025966,-76.94549454,0
739929404,38.99025966,-76.94549454,2
716008421,38.99025966,-76.94549454,2
201921211,38.99025966,-76.94549454,9
229945637,38.99357532,-76.94544127,0
720536581,38.99357532,-76.94544127,2
710696995,38.99357532,-76.94544127,5
782578193,38.99357532,-76.94544127,7
686849502,38.99357532,-76.94544127,7
48808380,38.99357532,-76.94544127,8
48808381,38.99357532,-76.94544127,8
207528522,38.99357532,-76.94544127,9
795042237,38.99357532,-76.94544127,22
816957573,38.99357532,-76.94544127,22
819127006,38.99357532,-76.94544127,22
780405827,38.99357532,-76.94544127,22
822671307,38.99357532,-76.94544127,22
255383410,38.9936,-76.9454,0
335357106,38.9874,-76.9454,3
755520311,38.9874,-76.9454,4
707560917,38.9936,-76.9454,7
708743156,38.9936,-76.9454,7
709829918,38.9936,-76.9454,7
48808387,38.9936,-76.9454,8
48808389,38.9936,-76.9454,8
48808392,38.9936,-76.9454,8
48808394,38.9936,-76.9454,8
227227891,38.9936,-76.9454,9
229945627,38.9936,-76.9454,9
238500096,38.9936,-76.9454,9
826482038,38.9936,-76.9454,22
777370984,38.9936,-76.9454,22
696994880,38.9936,-76.9454,22
714482685,38.9936,-76.9454,22
715554864,38.9936,-76.9454,22
758703914,38.98741493,-76.94537536,22
277725223,38.9832025,-76.945279,0
48802940,38.98876364,-76.94526662,23
401060861,38.9901,-76.9452,3
48808400,38.9901,-76.9452,8
757767191,38.99006175,-76.9451929,4
263983211,38.9900446,-76.9451764,9
316926297,38.99357,-76.94517,9
320940937,38.99357,-76.94517,9
719538716,38.99357,-76.94517,22
48802941,38.99357,-76.94517,23
293769838,38.9846,-76.9451,0
720109124,38.9835,-76.9451,22
762179643,38.9846,-76.9451,22
721800806,38.9846,-76.9451,22
298729720,38.9846652,-76.9450863,0
380036242,38.9846652,-76.9450863,0
396668942,38.9846652,-76.9450863,0
613360540,38.9846652,-76.9450863,1
719926681,38.9846652,-76.9450863,2
726210121,38.9846652,-76.9450863,22
48802942,38.9846652,-76.9450863,23
48802944,38.9846652,-76.9450863,23
48802945,38.9846652,-76.9450863,23
442527122,38.98597,-76.94508,0
565260036,38.98597,-76.94508,3
759446054,38.98597,-76.94508,4
419846950,38.98597,-76.94508,6
710696987,38.98597,-76.94508,7
48808402,38.98597,-76.94508,8
370089282,38.98597,-76.94508,9
379275224,38.98597,-76.94508,9
384238621,38.98597,-76.94508,9
733648640,38.98597,-76.94508,22
757339888,38.98597,-76.94508,22
751778074,38.98597,-76.94508,22
754724313,38.98597,-76.94508,22
755441462,38.98597,-76.94508,22
48802947,38.98597,-76.94508,23
469320373,38.9859824,-76.9450413,0
477505542,38.9859824,-76.9450413,0
720189789,38.9859824,-76.9450413,2
48808407,38.9859824,-76.9450413,8
48808422,38.9859824,-76.9450413,8
396668944,38.9859824,-76.9450413,9
755880916,38.9859824,-76.9450413,22
760520904,38.9859824,-76.9450413,22
761568898,38.9859824,-76.9450413,22
693678867,38.9847,-76.945,0
701215348,38.9847,-76.945,0
708018368,38.9847,-76.945,0
710552118,38.986,-76.945,0
726100805,38.9934,-76.945,0
628373177,38.986,-76.945,1
677171143,38.9925,-76.945,1
721488035,38.986,-76.945,2
720601934,38.986,-76.945,2
610033097,38.9846,-76.945,3
790145295,38.9934,-76.945,3
777370980,38.9934,-76.945,3
762179642,38.98468,-76.945,4
711263724,38.9846,-76.945,5
433992933,38.9934,-76.945,6
48808434,38.986,-76.945,8
48808441,38.986,-76.945,8
48808443,38.986,-76.945,8
48808451,38.9934,-76.945,8
433992936,38.986,-76.945,9
441875156,38.986,-76.945,9
478304971,38.986,-76.945,9
482583213,38.986,-76.945,9
779534040,38.9934,-76.945,9
761732828,38.9847,-76.945,22
758292570,38.9847,-76.945,22
764861655,38.9934,-76.945,22
765870228,38.9934,-76.945,22
765870227,38.9934,-76.945,22
48802948,38.9847,-76.945,23
48802949,38.9847,-76.945,23
48802950,38.986,-76.945,23
48802951,38.9925,-76.945,23
723699850,38.98280542,-76.9449984,2
433992937,38.98280542,-76.9449984,6
765870229,38.99251486,-76.94498014,22
711411013,38.98596323,-76.94497731,5
488656130,38.98596323,-76.94497731,6
822834535,38.98596323,-76.94497731,6
712502735,38.98596323,-76.94497731,7
48808453,38.98596323,-76.94497731,8
48808459,38.98596323,-76.94497731,8
48810359,38.98596323,-76.94497731,8
48804849,38.98596323,-76.94497731,8
48804857,38.98596323,-76.94497731,8
720824268,38.98596323,-76.94497731,9
9465368,38.98596323,-76.94497731,9
720824270,38.98596323,-76.94497731,9
733083188,38.98596323,-76.94497731,9
734986645,38.98596323,-76.94497731,9
767525877,38.98596323,-76.94497731,22
768073495,38.98596323,-76.94497731,22
769888730,38.98596323,-76.94497731,22
48802952,38.98596323,-76.94497731,23
48802953,38.98596323,-76.94497731,23
797749717,38.9877,-76.9449,0
780975323,38.9877,-76.9449,0
692014337,38.9813,-76.9449,1
728167505,38.9877,-76.9449,2
729585106,38.9877,-76.9449,2
716008412,38.9877,-76.9449,7
719445123,38.9877,-76.9449,7
48806735,38.9877,-76.9449,8
736781935,38.9911,-76.9449,9
771009016,38.9877,-76.9449,22
48802954,38.9813,-76.9449,23
812748760,38.9812688,-76.94487068,0
734155838,38.9813,-76.9448,2
48802955,38.9813,-76.9448,23
48806749,38.9832096,-76.9447938,8
750281112,38.9832096,-76.9447938,9
797087512,38.98806,-76.94472,0
794448868,38.98806,-76.94472,0
102616207,38.98806,-76.94472,0
102616208,38.98806,-76.94472,0
103437172,38.98806,-76.94472,0
698871046,38.98806,-76.94472,1
787500565,38.98806,-76.94472,1
794209152,38.98806,-76.94472,1
134936472,38.98806,-76.94472,1
140924871,38.98806,-76.94472,1
735840443,38.98806,-76.94472,2
738976458,38.98806,-76.94472,2
739511329,38.98806,-76.94472,2
739584927,38.98806,-76.94472,2
741884090,38.98806,-76.94472,2
751778076,38.98806,-76.94472,2
754724317,38.98806,-76.94472,2
756454425,38.98806,-76.94472,2
758127591,38.98806,-76.94472,2
757767190,38.98806,-76.94472,2
757827096,38.98806,-76.94472,2
812521461,38.98806,-76.94472,3
775062049,38.98806,-76.94472,3
772197177,38.98806,-76.94472,3
