latitude,longitude,hour_of_day
38.98206,-76.93894,14
38.98206,-76.93894,15
38.98206,-76.93894,15
38.98206,-76.93894,17
38.98206,-76.93894,17
38.98206,-76.93894,18
38.98206,-76.93894,19
38.98207788,-76.94377215,10
38.98207788,-76.94377215,11
38.98207788,-76.94377215,12
38.98207788,-76.94377215,17
38.98207788,-76.94377215,18
38.98208183,-76.94293362,9
38.98208183,-76.94293362,9
38.98208183,-76.94293362,9
38.98208183,-76.94293362,9
38.98208183,-76.94293362,9
38.98208183,-76.94293362,10
38.98208183,-76.94293362,10
38.98208183,-76.94293362,10
38.98208183,-76.94293362,13
38.98208183,-76.94293362,14
38.98208183,-76.94293362,14
38.98208183,-76.94293362,15
38.98208183,-76.94293362,15
38.98208183,-76.94293362,15
38.98208183,-76.94293362,16
38.98208183,-76.94293362,16
38.98208183,-76.94293362,16
38.98208183,-76.94293362,16
38.98208183,-76.94293362,16
38.98208183,-76.94293362,16
38.98208183,-76.94293362,16
38.98208183,-76.94293362,17
38.98208183,-76.94293362,17
38.98208183,-76.94293362,17
38.98208183,-76.94293362,17
38.98208183,-76.94293362,17
38.98208183,-76.94293362,17
38.98208183,-76.94293362,17
38.98208183,-76.94293362,17
38.98208183,-76.94293362,17
38.98208183,-76.94293362,19
38.98208183,-76.94293362,20
38.98208183,-76.94293362,20
38.98208183,-76.94293362,20
38.9821,-76.9438,9
38.9821,-76.9438,12
38.9821,-76.9438,14
38.9821,-76.9438,14
38.9821,-76.9438,15
38.9821,-76.9429,9
38.9821,-76.9429,9
38.9821,-76.9429,9
38.9821,-76.9429,10
38.9821,-76.9429,10
38.9821,-76.9429,10
38.9821,-76.9429,11
38.9821,-76.9429,13
38.9821,-76.9429,13
38.9821,-76.9429,14
38.9821,-76.9429,15
38.9821,-76.9429,15
38.9821,-76.9429,15
38.9821,-76.9429,15
38.9821,-76.9429,16
38.9821,-76.9429,16
38.9821,-76.9429,16
38.9821,-76.9429,17
38.9821,-76.9429,17
38.9821,-76.9429,17
38.9821,-76.9429,17
38.9821,-76.9429,17
38.9821,-76.9429,18
38.9821,-76.9429,18
38.9821,-76.9379,11
38.9821,-76.9379,11
38.9821,-76.9379,13
38.9821,-76.9379,17
38.9821,-76.9379,18
38.9821,-76.9379,20
38.98214919,-76.93791285,10
38.98214919,-76.93791285,11
38.98214919,-76.93791285,11
38.98214919,-76.93791285,11
38.98214919,-76.93791285,12
38.98214919,-76.93791285,13
38.98214919,-76.93791285,13
38.98214919,-76.93791285,14
38.98214919,-76.93791285,14
38.98214919,-76.93791285,15
38.98214919,-76.93791285,16
38.98214919,-76.93791285,17
38.98214919,-76.93791285,17
38.98214919,-76.93791285,17
38.98214919,-76.93791285,17
38.98214919,-76.93791285,20
38.9821496,-76.9378212,9
38.98215,-76.9444,10
38.98215,-76.9444,12
38.98215,-76.9444,14
38.98215,-76.9444,14
38.98215,-76.9444,19
38.98215,-76.9444,19
38.98215876,-76.94464681,10
38.98215876,-76.94464681,10
38.98215876,-76.94464681,10
38.98215876,-76.94464681,10
38.98215876,-76.94464681,11
38.98215876,-76.94464681,11
38.98215876,-76.94464681,12
38.98215876,-76.94464681,13
38.98215876,-76.94464681,16
38.98215876,-76.94464681,17
38.98215876,-76.94464681,18
38.98215876,-76.94464681,20
38.98215876,-76.94464681,20
38.98219078,-76.93784417,12
38.98219078,-76.93784417,18
38.98219635,-76.94137805,18
38.98219635,-76.94137805,19
38.98219635,-76.94137805,20
38.9822,-76.9446,9
38.9822,-76.9446,9
38.9822,-76.9446,12
38.9822,-76.9446,12
38.9822,-76.9446,13
38.9822,-76.9446,14
38.9822,-76.9446,15
38.9822,-76.9446,15
38.9822,-76.9446,17
38.9822,-76.9446,18
38.9822,-76.9446,18
38.9822,-76.9422,18
38.9822,-76.9422,19
38.9822,-76.9422,19
38.9822,-76.9421,11
38.9822,-76.9421,12
38.9822,-76.9414,11
38.9822,-76.9414,16
38.9822,-76.9414,20
38.9822,-76.938,15
38.9822,-76.9379,10
38.9822,-76.9379,14
38.9822,-76.9379,16
38.9822,-76.9379,17
38.9822,-76.9379,18
38.9822,-76.9378,17
38.982206,-76.9469234,13
38.98222676,-76.94219373,11
38.98222676,-76.94219373,13
38.98222676,-76.94219373,14
38.98222676,-76.94219373,18
38.98222676,-76.94219373,19
38.98222676,-76.94219373,20
38.98224,-76.94216,18
38.98224,-76.94003,16
38.98225113,-76.94005638,9
38.98225113,-76.94005638,11
38.98225113,-76.94005638,11
38.98225113,-76.94005638,12
38.98225113,-76.94005638,12
38.98225113,-76.94005638,12
38.98225113,-76.94005638,15
38.98225113,-76.94005638,17
